gold_id,question,expected_article_id,expected_title,expected_answer,evidence_from_abstract,key_terms
R300-G001,"Which paper proposes sliding-window KV cache quantization that keeps the most recent window tokens at high precision for long-context LLM inference?",162774,"SKVQ: Sliding-window Key and Value Cache Quantization for Large Language Models","The answer should identify SKVQ and explain that it rearranges KV-cache channels, applies clipped dynamic group quantization, and preserves recent window tokens at high precision.","SKVQ stands for sliding-window KV cache quantization. It rearranges KV cache channels to improve similarity within quantization groups, applies clipped dynamic quantization at the group level, and preserves the most recent window tokens with high precision.","SKVQ;sliding-window KV cache quantization;most recent window tokens;clipped dynamic quantization;high precision"
R300-G002,"Which work argues that KV cache compressibility is a learned representation property and trains transformers toward more compressible internal states?",206722,"Training Transformers for KV Cache Compressibility","The answer should identify Training Transformers for KV Cache Compressibility and explain that KV compressibility depends on learned representations, not only post-hoc compression.","The paper formalizes KV compressibility and shows it is a property of learned representations rather than context alone. It argues that post-hoc KV compression is limited by how compressible the pretrained model's internal states are.","KV compressibility;learned representations;transformers;post-hoc compression;internal states"
R300-G003,"What text-to-SQL paper calibrates LLM confidence by using SQL sub-clause frequencies and Platt scaling instead of raw model probabilities?",112554,"Calibrating LLMs for Text-to-SQL Parsing by Leveraging Sub-clause Frequencies","The answer should identify the text-to-SQL calibration paper and mention sub-clause frequency scores plus Platt scaling for calibrated confidence.","The paper studies calibrated confidence scores for LLM-based text-to-SQL parsing. It proposes sub-clause frequency scores leveraging SQL structure and uses Platt scaling to improve calibration over raw output probabilities.","text-to-SQL;sub-clause frequencies;Platt scaling;calibrated confidence;raw probabilities"
R300-G004,"Which benchmark evaluates natural-language-to-PostGIS generation with spatial data types, coordinate systems, PostGIS functions, and schema retrieval tasks?",229315,"GeoSQL-Eval: First Evaluation of LLMs on PostGIS-Based NL2GeoSQL Queries","The answer should identify GeoSQL-Eval and GeoSQL-Bench as the evaluation framework and benchmark for NL2GeoSQL/PostGIS generation.","GeoSQL-Eval is an end-to-end automated evaluation framework for PostGIS query generation. GeoSQL-Bench assesses LLM performance in NL2GeoSQL with spatial data types, coordinate systems, PostGIS functions, and schema retrieval.","GeoSQL-Eval;GeoSQL-Bench;PostGIS;NL2GeoSQL;schema retrieval"
R300-G005,"Which image generation approach simulates photo-realistic floods on user-provided photos by combining simulated and real data through unsupervised domain adaptation?",113106,"ClimateGAN: Raising Climate Change Awareness by Generating Images of Floods","The answer should identify ClimateGAN and describe photo-realistic flood simulation on user-chosen photos using simulated and real data.","ClimateGAN simulates photo-realistic floods on authentic images and addresses the absence of suitable training data by leveraging simulated and real data for unsupervised domain adaptation and conditional image generation.","ClimateGAN;photo-realistic floods;user-chosen photos;unsupervised domain adaptation;conditional image generation"
R300-G006,"Which framework lets foundation agents control arbitrary software through screenshots as observations and keyboard or mouse actions as outputs?",130292,"Cradle: Empowering Foundation Agents Towards General Computer Control","The answer should identify Cradle and the General Computer Control setting, where agents use screenshots and low-level keyboard/mouse actions instead of APIs.","The paper proposes General Computer Control, restricting foundation agents to use screenshots as input and keyboard/mouse actions as output. It introduces Cradle, a modular LMM-powered framework for arbitrary software control.","Cradle;General Computer Control;screenshots;keyboard and mouse actions;foundation agents"
R300-G007,"What LLM-agent system decides whether a web attack requires a new intrusion detection rule or a repair to an existing signature?",223536,"GRIDAI: Generating and Repairing Intrusion Detection Rules via Collaboration among Multiple LLM-based Agents","The answer should identify GRIDAI and explain its decision between generating a new intrusion detection rule and repairing an existing signature.","GRIDAI is an end-to-end framework for automated generation and repair of intrusion detection rules. It assesses incoming attack samples and either generates a new rule or repairs an existing rule by updating the signature.","GRIDAI;intrusion detection rules;web attacks;repair existing rule;LLM-based agents"
R300-G008,"Which practical study converts fake low-precision quantization into true 8-bit GPU inference for 3D medical segmentation networks such as U-Net and SwinUNETR?",225222,"Post-Training Quantization for 3D Medical Image Segmentation: A Practical Study on Real Inference Engines","The answer should identify the practical PTQ study and mention true 8-bit GPU inference for 3D medical segmentation models rather than fake quantization only.","The study introduces a real post-training quantization framework implementing true 8-bit quantization on 3D medical segmentation models including U-Net, SegResNet, SwinUNETR, nnU-Net, UNesT, TransUNet, ST-UNet, and VISTA3D.","post-training quantization;true 8-bit;3D medical segmentation;U-Net;SwinUNETR"
R300-G009,"Which CI/CD framework performs token-efficient log preprocessing, root-cause analysis, retrieval of historical fixes, and tool-calling based remediation?",149749,"LogSage: An LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation","The answer should identify LogSage and mention log preprocessing, RCA, RAG over historical fixes, and LLM tool-calling remediation.","LogSage is an end-to-end LLM-powered framework for CI/CD root cause analysis and automated remediation. It uses token-efficient log preprocessing, structured diagnostic prompting, retrieval-augmented generation over historical fixes, and tool-calling automation.","LogSage;CI/CD;root cause analysis;retrieval-augmented generation;tool-calling"
R300-G010,"Which Arabic NLP dataset and metric treats dialectness as a continuous sentence-level variable rather than binary dialect identification?",173006,"ALDi: Quantifying the Arabic Level of Dialectness of Text","The answer should identify ALDi and AOC-ALDi, explaining that dialectness is modeled as a continuous sentence-level variable.","The paper introduces Arabic Level of Dialectness (ALDi), a continuous linguistic variable at sentence level, and the AOC-ALDi dataset with manually labeled dialectness levels instead of binary dialect identification.","ALDi;AOC-ALDi;Arabic dialectness;continuous variable;sentence-level"
